Date,RSXFS,INDPRO,UMCSENT,CPIAUCSL,DFF,UNRATE,GDPC1,Close_AAPL_stock_data,Close_GOOGL_stock_data,Close_MSFT_stock_data,Close_BABA_stock_data,Close_WMT_stock_data
2023-10-18,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,175.83999633789100,137.9600067138670,330.1099853515630,83.01000213623050,54.253334045410200
2023-10-19,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,175.4600067138670,137.75,331.32000732421900,81.61000061035160,53.92333221435550
2023-10-20,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,172.8800048828130,135.60000610351600,326.6700134277340,79.94000244140630,53.723331451416000
2023-10-21,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,54.34000015258790
2023-10-22,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,54.470001220703100
2023-10-23,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,173.0,136.5,329.32000732421900,80.51000213623050,54.956668853759800
2023-10-24,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,173.44000244140600,138.80999755859400,330.5299987792970,82.87000274658200,55.17333221435550
2023-10-25,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,171.10000610351600,125.61000061035200,340.6700134277340,81.02999877929690,54.88666534423830
2023-10-26,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,166.88999938964800,122.27999877929700,327.8900146484380,82.51000213623050,54.959999084472700
2023-10-27,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,168.22000122070300,122.16999816894500,329.80999755859400,82.81999969482420,55.21666717529300
2023-10-28,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,54.766666412353500
2023-10-29,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,54.63999938964840
2023-10-30,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,170.2899932861330,124.45999908447300,337.30999755859400,83.13999938964840,55.39666748046880
2023-10-31,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,170.77000427246100,124.08000183105500,338.1099853515630,82.54000091552730,55.893333435058600
2023-11-01,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,173.97000122070300,126.4499969482420,346.07000732421900,82.4800033569336,55.883331298828100
2023-11-02,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,177.57000732421900,127.48999786377000,348.32000732421900,83.41000366210940,56.59333419799810
2023-11-03,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,176.64999389648400,129.10000610351600,352.79998779296900,85.30999755859380,52.01333236694340
2023-11-04,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,51.78333282470700
2023-11-05,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,51.766666412353500
2023-11-06,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,179.22999572753900,130.25,356.5299987792970,85.36000061035160,51.95333480834960
2023-11-07,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,181.82000732421900,130.97000122070300,360.5299987792970,85.41000366210940,51.55666732788090
2023-11-08,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,182.88999938964800,131.83999633789100,363.2000122070310,84.80000305175780,52.02000045776370
2023-11-09,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,182.41000366210900,130.24000549316400,360.69000244140600,82.7300033569336,52.25666809082030
2023-11-10,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,186.3999938964840,132.58999633789100,369.6700134277340,82.75,52.880001068115200
2023-11-11,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,52.026668548584000
2023-11-12,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,51.89666748046880
2023-11-13,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,184.8000030517580,132.08999633789100,366.6799926757810,82.26000213623050,51.4466667175293
2023-11-14,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,187.44000244140600,133.6199951171880,370.2699890136720,83.87000274658200,51.43333435058590
2023-11-15,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,188.0099945068360,134.6199951171880,369.6700134277340,87.06999969482420,51.90999984741210
2023-11-16,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,189.7100067138670,136.92999267578100,376.1700134277340,79.11000061035160,51.3466682434082
2023-11-17,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,189.69000244140600,135.30999755859400,369.8500061035160,77.5999984741211,50.81999969482420
2023-11-18,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,50.28666687011720
2023-11-19,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,50.413333892822300
2023-11-20,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,191.4499969482420,136.25,377.44000244140600,78.45999908447270,50.45333480834960
2023-11-21,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,190.63999938964800,136.97000122070300,373.0700073242190,78.94000244140630,51.349998474121100
2023-11-22,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,191.30999755859400,138.49000549316400,377.8500061035160,78.95999908447270,50.723331451416000
2023-11-23,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,50.913333892822300
2023-11-24,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,189.97000122070300,136.69000244140600,377.4299926757810,78.48999786376950,51.65666580200200
2023-11-25,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,51.84333419799810
2023-11-26,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,,,,,51.23666763305660
2023-11-27,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,189.7899932861330,136.41000366210900,378.6099853515630,77.52999877929690,51.599998474121100
2023-11-28,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,190.3999938964840,137.1999969482420,382.7000122070310,76.73999786376950,52.21666717529300
2023-11-29,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,189.3699951171880,134.99000549316400,378.8500061035160,74.66999816894530,52.13666534423830
2023-11-30,606035.0,102.8868,61.3,308.024,5.33,3.7,22679.255,189.9499969482420,132.52999877929700,378.9100036621090,74.87999725341800,52.62666702270510
2023-12-01,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,191.2400054931640,131.86000061035200,374.510009765625,73.98999786376950,52.52333450317380
2023-12-02,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,52.54999923706060
2023-12-03,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,53.0966682434082
2023-12-04,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,189.42999267578100,129.27000427246100,369.1400146484380,73.02999877929690,53.099998474121100
2023-12-05,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,193.4199981689450,130.99000549316400,372.5199890136720,72.37999725341800,52.586666107177700
2023-12-06,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,192.32000732421900,130.02000427246100,368.7999877929690,71.48999786376950,52.23666763305660
2023-12-07,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,194.27000427246100,136.92999267578100,370.9500122070310,72.33000183105470,52.75
2023-12-08,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,195.7100067138670,134.99000549316400,374.2300109863280,72.13999938964840,53.10333251953130
2023-12-09,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,53.76333236694340
2023-12-10,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,53.70333480834960
2023-12-11,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,193.17999267578100,133.2899932861330,371.2999877929690,71.37000274658200,53.77333450317380
2023-12-12,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,194.7100067138670,132.52000427246100,374.3800048828130,71.38999938964840,53.94333267211910
2023-12-13,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,197.9600067138670,132.57000732421900,374.3699951171880,71.45999908447270,53.689998626709000
2023-12-14,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,198.11000061035200,131.94000244140600,365.9299926757810,72.51000213623050,54.413333892822300
2023-12-15,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,197.57000732421900,132.60000610351600,370.7300109863280,74.51000213623050,54.12666702270510
2023-12-16,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,54.130001068115200
2023-12-17,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,54.266666412353500
2023-12-18,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,195.88999938964800,135.8000030517580,372.6499938964840,73.83999633789060,53.5
2023-12-19,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,196.94000244140600,136.64999389648400,373.260009765625,75.38999938964840,54.279998779296900
2023-12-20,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,194.8300018310550,138.33999633789100,370.6199951171880,73.3499984741211,54.75666809082030
2023-12-21,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,194.67999267578100,140.4199981689450,373.5400085449220,76.26000213623050,55.01333236694340
2023-12-22,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,193.6000061035160,141.49000549316400,374.5799865722660,75.27999877929690,55.1966667175293
2023-12-23,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,55.08333206176760
2023-12-24,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,56.10333251953130
2023-12-25,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,56.52333450317380
2023-12-26,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,193.0500030517580,141.52000427246100,374.6600036621090,75.8499984741211,56.220001220703100
2023-12-27,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,193.1499938964840,140.3699951171880,374.0700073242190,76.11000061035160,56.60333251953130
2023-12-28,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,193.5800018310550,140.22999572753900,375.2799987792970,77.23999786376950,56.459999084472700
2023-12-29,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,192.52999877929700,139.69000244140600,376.0400085449220,77.51000213623050,56.456668853759800
2023-12-30,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,56.426666259765600
2023-12-31,608730.0,102.6309,69.7,308.742,5.33,3.7,22679.255,,,,,56.766666412353500
2024-01-01,601921.0,101.7126,79.0,309.685,5.33,3.7,22758.752,,,,,56.380001068115200
2024-01-02,601921.0,101.7126,79.0,309.685,5.33,3.7,,185.63999938964800,138.1699981689450,370.8699951171880,74.76000213623050,56.20000076293950
2024-01-03,601921.0,101.7126,79.0,309.685,5.33,3.7,,184.25,138.9199981689450,370.6000061035160,76.58999633789060,56.43000030517580
2024-01-04,601921.0,101.7126,79.0,309.685,5.33,3.7,,181.91000366210900,136.38999938964800,367.94000244140600,74.66000366210940,56.78666687011720
2024-01-05,601921.0,101.7126,79.0,309.685,5.33,3.7,,181.17999267578100,135.72999572753900,367.75,73.01000213623050,58.619998931884800
2024-01-06,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,57.900001525878900
2024-01-07,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,58.470001220703100
2024-01-08,601921.0,101.7126,79.0,309.685,5.33,3.7,,185.55999755859400,138.83999633789100,374.69000244140600,72.87999725341800,58.52000045776370
2024-01-09,601921.0,101.7126,79.0,309.685,5.33,3.7,,185.13999938964800,140.9499969482420,375.7900085449220,72.0199966430664,59.599998474121100
2024-01-10,601921.0,101.7126,79.0,309.685,5.33,3.7,,186.19000244140600,142.27999877929700,382.7699890136720,71.41000366210940,59.59000015258790
2024-01-11,601921.0,101.7126,79.0,309.685,5.33,3.7,,185.58999633789100,142.0800018310550,384.6300048828130,72.37999725341800,59.619998931884800
2024-01-12,601921.0,101.7126,79.0,309.685,5.33,3.7,,185.9199981689450,142.64999389648400,388.4700012207030,71.83999633789060,58.61000061035160
2024-01-13,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,58.7599983215332
2024-01-14,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,59.29999923706060
2024-01-15,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,60.040000915527300
2024-01-16,601921.0,101.7126,79.0,309.685,5.33,3.7,,183.6300048828130,142.49000549316400,390.2699890136720,69.45999908447270,60.56999969482420
2024-01-17,601921.0,101.7126,79.0,309.685,5.33,3.7,,182.67999267578100,141.47000122070300,389.4700012207030,68.93000030517580,60.36000061035160
2024-01-18,601921.0,101.7126,79.0,309.685,5.33,3.7,,188.6300048828130,143.47999572753900,393.8699951171880,68.05000305175780,60.119998931884800
2024-01-19,601921.0,101.7126,79.0,309.685,5.33,3.7,,191.55999755859400,146.3800048828130,398.6700134277340,69.41999816894530,60.65999984741210
2024-01-20,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,61.40999984741210
2024-01-21,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,61.279998779296900
2024-01-22,601921.0,101.7126,79.0,309.685,5.33,3.7,,193.88999938964800,145.99000549316400,396.510009765625,68.62999725341800,61.02000045776370
2024-01-23,601921.0,101.7126,79.0,309.685,5.33,3.7,,195.17999267578100,147.0399932861330,398.8999938964840,74.0199966430664,60.68000030517580
2024-01-24,601921.0,101.7126,79.0,309.685,5.33,3.7,,194.5,148.6999969482420,402.55999755859400,75.19999694824220,60.86000061035160
2024-01-25,601921.0,101.7126,79.0,309.685,5.33,3.7,,194.1699981689450,151.8699951171880,404.8699951171880,73.8499984741211,60.869998931884800
2024-01-26,601921.0,101.7126,79.0,309.685,5.33,3.7,,192.4199981689450,152.19000244140600,403.9299926757810,74.01000213623050,61.25
2024-01-27,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,61.45000076293950
2024-01-28,601921.0,101.7126,79.0,309.685,5.33,3.7,,,,,,60.869998931884800
2024-01-29,601921.0,101.7126,79.0,309.685,5.33,3.7,,191.72999572753900,153.50999450683600,409.7200012207030,73.58000183105470,60.56999969482420
2024-01-30,601921.0,101.7126,79.0,309.685,5.33,3.7,,188.0399932861330,151.4600067138670,408.5899963378910,72.31999969482420,60.5099983215332
2024-01-31,601921.0,101.7126,79.0,309.685,5.33,3.7,,184.3999938964840,140.10000610351600,397.5799865722660,72.16999816894530,60.720001220703100
2024-02-01,606720.0,102.7423,76.9,311.054,5.33,3.9,,186.86000061035200,141.16000366210900,403.7799987792970,72.45999908447270,60.16999816894530
2024-02-02,606720.0,102.7423,76.9,311.054,5.33,3.9,,185.8500061035160,142.3800048828130,411.2200012207030,71.8499984741211,60.0
2024-02-03,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,59.15999984741210
2024-02-04,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,59.43000030517580
2024-02-05,606720.0,102.7423,76.9,311.054,5.33,3.9,,187.67999267578100,143.67999267578100,405.6499938964840,74.62999725341800,59.5
2024-02-06,606720.0,102.7423,76.9,311.054,5.33,3.9,,189.3000030517580,144.10000610351600,405.489990234375,78.2300033569336,59.849998474121100
2024-02-07,606720.0,102.7423,76.9,311.054,5.33,3.9,,189.41000366210900,145.5399932861330,414.0499877929690,73.63999938964840,59.779998779296900
2024-02-08,606720.0,102.7423,76.9,311.054,5.33,3.9,,188.32000732421900,145.91000366210900,414.1099853515630,70.77999877929690,59.790000915527300
2024-02-09,606720.0,102.7423,76.9,311.054,5.33,3.9,,188.8500061035160,149.0,420.5499877929690,72.0199966430664,60.619998931884800
2024-02-10,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,60.09000015258790
2024-02-11,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,60.13999938964840
2024-02-12,606720.0,102.7423,76.9,311.054,5.33,3.9,,187.1499938964840,147.52999877929700,415.260009765625,73.13999938964840,59.93000030517580
2024-02-13,606720.0,102.7423,76.9,311.054,5.33,3.9,,185.0399932861330,145.13999938964800,406.3200073242190,71.5999984741211,59.84000015258790
2024-02-14,606720.0,102.7423,76.9,311.054,5.33,3.9,,184.1499938964840,145.94000244140600,409.489990234375,73.38999938964840,59.650001525878900
2024-02-15,606720.0,102.7423,76.9,311.054,5.33,3.9,,183.86000061035200,142.77000427246100,406.55999755859400,73.81999969482420,59.2599983215332
2024-02-16,606720.0,102.7423,76.9,311.054,5.33,3.9,,182.30999755859400,140.52000427246100,404.05999755859400,73.91000366210940,59.529998779296900
2024-02-17,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,60.13999938964840
2024-02-18,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,59.09000015258790
2024-02-19,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,59.869998931884800
2024-02-20,606720.0,102.7423,76.9,311.054,5.33,3.9,,181.55999755859400,141.1199951171880,402.7900085449220,73.13999938964840,60.209999084472700
2024-02-21,606720.0,102.7423,76.9,311.054,5.33,3.9,,182.32000732421900,142.5500030517580,402.1799926757810,75.58000183105470,60.15999984741210
2024-02-22,606720.0,102.7423,76.9,311.054,5.33,3.9,,184.3699951171880,144.08999633789100,411.6499938964840,76.12000274658200,60.2400016784668
2024-02-23,606720.0,102.7423,76.9,311.054,5.33,3.9,,182.52000427246100,143.9600067138670,410.3399963378910,75.95999908447270,59.349998474121100
2024-02-24,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,58.849998474121100
2024-02-25,606720.0,102.7423,76.9,311.054,5.33,3.9,,,,,,59.709999084472700
2024-02-26,606720.0,102.7423,76.9,311.054,5.33,3.9,,181.16000366210900,137.57000732421900,407.5400085449220,76.51000213623050,59.81999969482420
2024-02-27,606720.0,102.7423,76.9,311.054,5.33,3.9,,182.6300048828130,138.8800048828130,407.4800109863280,77.68000030517580,59.869998931884800
2024-02-28,606720.0,102.7423,76.9,311.054,5.33,3.9,,181.4199981689450,136.3800048828130,407.7200012207030,74.58999633789060,60.619998931884800
2024-02-29,606720.0,102.7423,76.9,311.054,5.33,3.9,,180.75,138.4600067138670,413.6400146484380,74.02999877929690,60.29999923706060
2024-03-01,610060.0,102.5096,79.4,312.23,5.33,3.8,,179.66000366210900,137.13999938964800,415.5,74.62000274658200,60.439998626709000
2024-03-02,610060.0,102.5096,79.4,312.23,5.33,3.8,,,,,,60.47999954223630
2024-03-03,610060.0,102.5096,79.4,312.23,5.33,3.8,,,,,,60.40999984741210
2024-03-04,610060.0,102.5096,79.4,312.23,5.33,3.8,,175.10000610351600,133.35000610351600,414.9200134277340,72.0,59.86000061035160
2024-03-05,610060.0,102.5096,79.4,312.23,5.33,3.8,,170.1199951171880,132.6699981689450,402.6499938964840,72.06999969482420,59.83000183105470
2024-03-06,610060.0,102.5096,79.4,312.23,5.33,3.8,,169.1199951171880,131.39999389648400,402.0899963378910,73.70999908447270,64.01000213623050
2024-03-07,610060.0,102.5096,79.4,312.23,5.33,3.8,,169.0,134.3800048828130,409.1400146484380,72.54000091552730,64.6500015258789
2024-03-08,610060.0,102.5096,79.4,312.23,5.33,3.8,,170.72999572753900,135.41000366210900,406.2200012207030,73.55000305175780,64.18000030517580
2024-03-09,610060.0,102.5096,79.4,312.23,5.33,3.8,,,,,,65.1500015258789
2024-03-10,610060.0,102.5096,79.4,312.23,5.33,3.8,,,,,,65.25
2024-03-11,610060.0,102.5096,79.4,312.23,5.33,3.8,,172.75,137.6699981689450,404.5199890136720,74.86000061035160,64.83999633789060
2024-03-12,610060.0,102.5096,79.4,312.23,5.33,3.8,,173.22999572753900,138.5,415.2799987792970,76.05999755859380,65.37999725341800
